prefix,diff1,diff2,...
a,0.06111
b,0.06415,0.05244
c_0,0.00793,0.09218
c_1,-0.06828
d,0.00957
e,-0.04924,0.10313
f,-0.23617,-0.0502
h,-0.08337,0.04495
i,0.11818,-0.12287
j,-0.109493,0.12057
k,-0.01559,0.01913
l,0.0065
m,0.01305
n,0.007743
o,0.15368,0.03056,-0.0182609
p_0,0.11162,-0.10887,-0.04306
p_1,0.00088,0.13533,-0.17469
q,0.09485,-0.139755,0.09674
r,0.06169
s,0.03931,-0.11596
