prefix,simulated angle,observed angle,...
a,0.0491407,-0.0285637
b,-0.116407,-0.0611482
c_0,-0.422149,-0.432134
d,-0.374334,-0.349421
e,0.24118,0.141897
f,0.521017,0.576981
h,0.281965,0.20948
i,0.549642,0.429913
j,0.395646,0.304925
k,-0.446408,-0.508215
l,0.366394,0.369906
m,-0.366575,-0.383341
n,0.389231,0.371287
o,0.38402,0.250804,0.0521615,0.0713075
p_0,0.407547,0.291834,-0.544119,-0.472656
p_1,0.430501,0.295926
q,0.534463,0.400504,-0.513767,-0.442199
s,-0.424419,-0.452059
